2876,21993,,,
2863,20914,,,
2909,18584,,,
2907,17501,,,
2908,16791,,,
2920,15495,,,
2860,14463,,,
2904,14196,,,
2826,14172,,,
2919,13868,,,
2905,13296,,,
2914,12488,,,
2838,12418,,,
2828,12298,,,
2917,12193,,,
2861,12147,,,
2831,11854,,,
2921,11736,,,
2910,11480,,,
2859,11208,,,
2815,11058,,,
2895,10828,,,
2911,10716,,,
2865,10620,,,
2885,10159,,,
2864,10048,,,
2903,9875,,,
2906,9753,,,
2889,9746,,,
2893,9697,,,
2816,9688,,,
2886,9594,,,
2830,9570,,,
2896,9496,,,
2888,9381,,,
2858,9341,,,
2809,9273,,,
2804,9182,,,
2827,9126,,,
2915,8951,,,
2882,8781,,,
2818,8455,,,
2852,8438,,,
2814,8367,,,
2839,8147,,,
2857,7947,,,
2817,7757,,,
2916,7747,,,
2898,7730,,,
2892,7597,,,
2802,7452,,,
2825,7400,,,
2878,7309,,,
2874,7282,,,
2894,7122,,,
2832,6852,,,
2806,6837,,,
2891,6645,,,
2840,6587,,,
2812,6540,,,
2879,6441,,,
2822,6397,,,
2808,6394,,,
2873,6316,,,
2871,6068,,,
2842,6051,,,
2813,5630,,,
2835,5386,,,
2807,5320,,,
2881,5156,,,
2841,4473,,,
2875,4396,,,
2837,4165,,,
2836,3209,,,
2912,3162,,,
2833,2535,,,
2872,2158,,,
2877,1,,,